"Student_ID","Gender","Hours_Studied","Previous_Score","Final_Score"
79,"Female",5.7,78,100
80,"Female",4.5,54,80
81,"Female",6.3,61,100
82,"Female",4.4,70,84
83,"Male",5.3,48,90
84,"Female",5.3,47,82
85,"Female",5.1,72,99
86,"Female",3.6,66,83
87,"Male",2.6,49,67
88,"Male",2,75,75
89,"Female",3.8,70,86
90,"Male",5.5,77,96
91,"Female",4.1,48,72
92,"Female",2.7,70,86
93,"Male",7.7,61,100
94,"Female",5.6,41,77
95,"Female",7.4,52,100
96,"Male",6.3,67,94
97,"Male",3.6,68,87
98,"Female",3.9,45,81
99,"Male",2.3,60,66
100,"Male",5.6,41,88
101,"Male",6.9,69,98
102,"Female",3.1,65,78
103,"Female",2.7,77,82
104,"Male",5.8,57,92
105,"Female",2.2,65,75
106,"Female",7.4,53,100
107,"Male",5.4,50,80
108,"Male",1.9,70,73
109,"Male",5,69,92
110,"Female",4.7,63,88
111,"Female",0.8,65,76
112,"Female",4.4,63,86
113,"Female",3.6,64,88
114,"Male",3.2,62,71
115,"Male",4.9,47,83
116,"Female",5.8,40,86
117,"Female",7.1,47,89
118,"Female",0.6,72,77
119,"Male",5.6,49,85
120,"Female",3.1,66,83
121,"Male",6.2,68,100
122,"Female",5,62,98
123,"Male",6.7,63,100
124,"Male",2.3,67,74
125,"Male",5.2,76,81
126,"Female",4.9,60,88
127,"Female",6.1,57,91
128,"Male",4.2,54,86
129,"Male",6.2,69,100
130,"Male",3.8,61,74
131,"Female",3.9,71,87
132,"Male",4.5,46,76
133,"Female",2.9,55,82
134,"Female",3.8,57,81
135,"Female",6.2,65,98
136,"Female",7,67,98
137,"Female",6.2,58,100
138,"Female",3.9,62,76
139,"Female",5,48,90
140,"Male",4.6,80,100
141,"Female",2.6,57,79
142,"Female",4.9,59,86
143,"Female",3.3,56,76
144,"Male",2.9,50,74
145,"Female",5.6,69,94
146,"Female",3.4,42,76
147,"Female",4.3,57,92
148,"Male",3,61,80
149,"Female",4.6,45,83
150,"Female",5.2,71,94
151,"Male",5.3,55,94
152,"Female",2.9,67,85
153,"Male",6.4,42,87
154,"Female",6.7,57,96
155,"Male",5.1,61,87
156,"Male",4.7,46,78
157,"Male",4.6,69,86
158,"Male",4.9,63,89
159,"Male",5.1,59,79
160,"Male",4.7,62,88
161,"Male",5.5,59,81
162,"Female",4,67,85
163,"Female",6.2,62,91
164,"Female",4.4,75,86
165,"Male",1.9,56,67
166,"Female",4.4,69,83
167,"Male",5.2,61,94
168,"Male",6.3,82,99
169,"Female",4.6,60,86
170,"Male",1.6,61,76
171,"Female",4.5,56,85
172,"Female",2.7,39,71
173,"Female",3,40,67
174,"Female",3,59,82
175,"Male",3.3,61,87
176,"Male",6.2,53,94
177,"Male",3.3,66,79
178,"Female",3.8,74,90
179,"Female",4.8,77,79
180,"Female",5.8,38,82
181,"Female",3.5,68,83
182,"Male",3.3,69,93
183,"Male",3.7,67,78
184,"Male",2.7,71,76
185,"Male",5.9,59,90
186,"Female",1.2,57,66
187,"Female",3.7,70,86
188,"Male",2.3,53,74
189,"Male",1.6,69,71
190,"Female",4.5,52,84
191,"Female",6.8,54,96
192,"Male",7,53,91
193,"Male",3.7,69,77
194,"Female",3.5,59,81
195,"Female",3.7,65,82
196,"Male",5.6,84,98
197,"Male",0.7,50,72
198,"Female",4.9,73,97
199,"Male",3.9,66,87
200,"Female",3.4,60,73
201,"Female",1.5,48,62
202,"Female",4.2,88,100
203,"Female",2,43,74
204,"Male",4.5,52,76
205,"Female",3.2,71,86
206,"Female",4.6,44,77
207,"Female",5.2,64,98
208,"Male",3.7,44,76
209,"Female",3,65,82
210,"Female",3.6,82,94
211,"Female",3.5,62,87
212,"Male",2.3,65,76
213,"Male",3.3,67,87
214,"Female",4.2,52,78
215,"Female",4.2,50,83
216,"Female",5,55,84
217,"Female",6.4,64,98
218,"Male",5,49,78
219,"Female",6.7,59,99
220,"Male",3.5,68,89
221,"Female",6.5,55,100
222,"Male",5.4,59,89
223,"Male",2.7,62,89
224,"Male",5.1,44,81
225,"Female",2.6,58,77
226,"Female",5.9,48,82
227,"Male",3.7,57,82
228,"Male",4.1,65,86
229,"Female",3.5,66,75
230,"Male",3.2,51,76
231,"Male",7.1,48,96
232,"Female",6,78,100
233,"Female",5.5,41,86
234,"Male",4.6,49,79
235,"Female",5.6,57,83
236,"Female",5.5,59,98
237,"Female",6.9,54,94
238,"Female",5.8,46,94
239,"Female",4.2,59,74
240,"Male",4.2,47,90
241,"Male",3.8,55,75
242,"Female",4,64,83
243,"Male",4.1,70,91
244,"Female",6.3,71,99
245,"Male",1,69,67
246,"Male",3.4,57,67
247,"Male",4.3,42,79
248,"Female",2.6,44,67
249,"Female",6.9,67,85
250,"Female",4.1,37,75
251,"Male",2.8,67,81
252,"Female",3.2,60,76
253,"Female",5.8,79,98
254,"Male",7.3,60,100
255,"Male",4.3,39,69
256,"Male",4.7,68,95
257,"Male",3.1,71,81
258,"Male",6.5,56,100
259,"Female",5.6,57,96
260,"Male",1,64,78
261,"Female",3.5,63,80
262,"Female",4.1,60,81
263,"Female",2.8,61,80
264,"Male",4.1,80,90
265,"Female",2.8,71,73
266,"Male",5,80,99
267,"Female",5,56,90
268,"Male",5.7,56,92
269,"Male",5.1,57,87
270,"Male",6.9,67,96
271,"Male",3.9,78,83
272,"Male",1.3,64,66
273,"Male",4.5,57,73
274,"Female",5.5,63,100
275,"Male",3.9,57,87
276,"Female",6.6,58,91
277,"Male",6.1,50,90
278,"Male",5.3,61,88
279,"Male",4.6,56,83
280,"Male",3.7,50,77
281,"Female",4.2,60,87
282,"Female",5.2,65,90
283,"Male",6,58,94
284,"Male",4.1,57,86
285,"Male",3.4,58,82
286,"Female",8.2,70,100
287,"Female",5.3,67,94
288,"Female",3.1,60,67
289,"Male",5.9,51,87
290,"Female",4.6,61,94
291,"Male",5.7,47,89
292,"Male",4.6,71,97
293,"Male",4.4,64,85
294,"Male",4.6,75,85
295,"Male",5.1,71,87
296,"Female",3.6,65,83
297,"Female",3.5,55,72
298,"Female",4.2,59,90
299,"Male",4.8,48,85
300,"Male",4,58,81
301,"Female",5,72,98
302,"Female",2.8,62,79
303,"Male",2.4,62,74
304,"Female",7.3,56,90
305,"Male",5.1,73,85
306,"Male",3.9,65,81
307,"Female",4.1,51,79
308,"Male",5.7,63,94
309,"Male",4.2,71,81
310,"Male",4.8,57,78
311,"Female",4.1,60,80
312,"Male",3.7,57,88
313,"Female",5.4,73,90
314,"Male",4.7,61,88
315,"Female",6.5,86,100
316,"Female",2.8,40,68
317,"Female",4.3,60,79
318,"Female",4.2,69,83
319,"Male",2.9,57,71
320,"Male",6,81,100
321,"Male",4.3,60,84
322,"Female",2.4,50,73
323,"Male",3.6,56,79
324,"Male",2.8,58,75
325,"Female",6.1,61,95
326,"Male",8.3,62,100
327,"Male",3.5,75,83
328,"Female",4.4,53,89
329,"Male",4.9,55,91
330,"Female",8.6,60,100
331,"Female",1,48,65
332,"Female",3.7,62,82
333,"Male",2.7,63,80
334,"Male",4.2,48,86
335,"Male",4.1,48,74
336,"Male",3.4,59,78
337,"Female",7.3,53,90
338,"Male",4.9,67,87
339,"Male",8.1,54,100
340,"Male",5.7,59,90
341,"Male",2.6,64,72
342,"Female",3.4,52,78
343,"Female",4.9,69,88
344,"Male",3.6,63,81
345,"Female",5,83,93
346,"Male",5.6,57,87
347,"Male",5.1,40,89
348,"Male",4.3,72,78
349,"Female",3.5,60,80
350,"Male",2.6,76,83
351,"Male",5,50,83
352,"Male",5.9,86,100
353,"Female",4.4,74,89
354,"Male",5.6,58,91
355,"Male",7.8,71,100
356,"Female",7.4,59,92
357,"Male",3.8,80,97
358,"Male",5.3,54,88
359,"Male",3.4,62,79
360,"Female",5.5,50,82
361,"Female",4.4,59,89
362,"Male",4.9,51,86
363,"Male",3.2,77,87
364,"Male",6.3,57,95
365,"Female",4.4,54,88
366,"Male",3.8,71,88
367,"Female",4.4,43,80
368,"Male",4.6,71,89
369,"Female",7,53,100
370,"Male",2.8,62,79
371,"Male",8.2,47,98
372,"Male",3.3,66,85
373,"Female",4.8,70,88
374,"Female",1.4,63,64
375,"Male",3.5,53,90
376,"Male",5.6,66,92
377,"Female",5.3,58,87
378,"Male",5.1,62,98
379,"Male",3.8,56,89
380,"Female",1.7,84,69
381,"Male",2.9,42,71
382,"Female",4.2,66,74
383,"Female",5.4,79,93
384,"Female",5.8,52,89
385,"Female",4,43,77
386,"Female",4.3,48,74
387,"Female",4.3,61,83
388,"Female",4.6,74,89
389,"Female",6.8,67,94
390,"Male",3.4,62,79
391,"Female",4.2,50,75
392,"Male",4.6,52,70
393,"Male",2.5,61,75
394,"Male",3.1,61,78
395,"Male",4.8,58,79
396,"Male",5.1,42,86
397,"Male",6.2,63,100
398,"Male",3.8,58,83
399,"Female",6.7,44,93
400,"Female",3.2,43,73
401,"Male",2.1,62,73
402,"Male",1.6,51,71
403,"Male",6.2,42,86
404,"Male",5,59,92
405,"Male",4.3,65,84
406,"Male",4.1,70,90
407,"Female",6.9,50,100
408,"Male",6.3,60,95
409,"Female",3,71,78
410,"Male",2.4,45,75
411,"Female",6.1,71,94
412,"Female",5.3,78,98
413,"Female",3.7,53,77
414,"Female",5.1,59,88
415,"Female",1.5,22,60
416,"Male",3.5,40,73
417,"Female",5.2,73,100
418,"Male",4.4,31,75
419,"Male",2.6,61,76
420,"Male",6,49,93
421,"Male",6.2,58,97
422,"Male",3.1,54,77
423,"Male",4.2,58,83
424,"Male",5.6,59,96
425,"Male",5.8,64,95
426,"Male",3.7,57,86
427,"Female",3.2,71,80
428,"Female",5,49,95
429,"Male",1.6,60,79
430,"Male",3.1,39,68
431,"Male",5.7,65,91
432,"Female",1.9,61,69
433,"Female",2.7,68,85
434,"Male",4.1,46,81
435,"Female",4,55,82
436,"Male",1.9,48,65
437,"Female",5.3,59,98
438,"Male",3,52,81
439,"Female",4.3,57,86
440,"Male",4.2,71,96
441,"Male",5.5,78,97
442,"Male",4.4,41,77
443,"Female",4.3,46,68
444,"Female",7,72,97
445,"Male",5.1,61,80
446,"Female",5.4,50,75
447,"Female",5.2,67,78
448,"Female",5.4,48,84
449,"Female",6.5,59,97
450,"Female",4.4,64,82
451,"Female",4.9,68,91
452,"Male",7.5,67,97
453,"Female",3.7,65,89
454,"Female",6.4,64,90
455,"Female",3.6,70,89
456,"Male",7.1,56,96
457,"Female",3.5,49,71
458,"Female",3.3,64,83
459,"Male",6.1,64,100
460,"Female",5.9,70,94
461,"Female",5.3,50,89
462,"Male",4.9,64,89
463,"Female",4.9,56,87
464,"Male",7.6,67,100
465,"Male",2.4,71,76
466,"Female",3,68,76
467,"Female",2.6,50,73
468,"Male",5.9,51,85
469,"Female",4.1,54,84
470,"Male",4.3,64,85
471,"Male",7.2,53,86
472,"Male",3.6,62,67
473,"Female",7.5,71,95
474,"Female",2.4,65,70
475,"Male",6.5,72,96
476,"Male",5,61,90
477,"Male",3.9,63,77
478,"Male",4.2,50,71
479,"Female",6.5,66,99
480,"Male",7.1,43,94
481,"Female",2,46,65
482,"Female",9.6,64,100
483,"Female",8.4,51,100
484,"Female",3.7,64,91
485,"Male",4.4,47,80
486,"Female",3.5,60,75
487,"Female",4.4,43,84
488,"Male",5.6,65,97
489,"Female",4.7,42,86
490,"Female",4.8,63,92
491,"Male",6.7,60,90
492,"Female",1.2,69,73
493,"Male",3.8,84,83
494,"Female",4.7,42,81
495,"Female",3.3,56,78
496,"Female",6.1,53,91
497,"Female",3.8,53,76
498,"Male",3.9,47,75
499,"Male",6.3,65,92
500,"Male",5.8,62,99
501,"Female",4.3,65,79
502,"Female",4,78,80
503,"Female",2.3,43,73
504,"Female",3.5,63,79
505,"Male",8.4,57,100
506,"Male",4.4,56,92
507,"Male",5.9,53,77
508,"Male",4.2,58,79
509,"Female",5.4,69,92
510,"Male",4.4,52,86
511,"Female",6.5,57,100
512,"Male",3.7,64,90
513,"Female",1.9,65,75
514,"Male",5.8,77,100
515,"Female",4.1,57,85
516,"Female",6.7,58,100
517,"Female",4.7,42,82
518,"Male",6.7,73,100
519,"Female",5,67,90
520,"Female",4,70,89
521,"Female",5.6,50,93
522,"Female",3.8,75,86
523,"Male",7,53,93
524,"Female",4.7,75,86
525,"Male",1.5,60,64
526,"Female",3.8,66,78
527,"Male",2.1,61,74
528,"Male",1.2,52,60
529,"Male",4.6,58,71
530,"Male",5.5,55,97
531,"Female",3.4,50,82
532,"Female",2.5,59,75
533,"Female",3.6,51,80
534,"Male",2.2,60,74
535,"Male",5.6,62,93
536,"Female",5.4,67,91
537,"Female",2.1,52,75
538,"Female",3.6,67,86
539,"Female",6.1,60,100
540,"Male",4.2,56,86
541,"Male",4.5,71,100
542,"Male",5.1,62,93
543,"Female",5.4,52,96
544,"Female",6.3,47,93
545,"Female",5.7,63,93
546,"Male",2.4,52,75
547,"Male",4,78,96
548,"Female",5,65,92
549,"Female",4.3,33,81
550,"Male",1.2,50,56
551,"Female",3.4,48,75
552,"Male",6,50,92
553,"Female",4.7,44,80
554,"Female",2.3,65,78
555,"Female",4.8,64,93
556,"Male",4.3,64,90
557,"Female",5.5,71,94
558,"Female",7.7,60,100
559,"Female",2.2,74,79
560,"Female",3.7,49,85
561,"Male",4.3,53,77
562,"Female",1.3,52,78
563,"Female",4.5,56,77
564,"Male",3.6,51,75
565,"Female",7.9,66,100
566,"Female",0.1,59,73
567,"Female",6.7,71,98
568,"Female",6,45,91
569,"Female",5.6,45,84
570,"Male",4.7,53,90
571,"Female",3.4,51,70
572,"Male",6.2,45,92
573,"Female",3.2,64,87
574,"Male",5.5,67,98
575,"Male",5.1,73,97
576,"Female",6.1,65,96
577,"Male",3.6,64,77
578,"Female",3.6,73,92
579,"Female",5,56,83
580,"Male",5,61,93
581,"Male",6.6,63,93
582,"Female",5.2,84,96
583,"Male",4.7,64,84
584,"Male",5.8,52,81
585,"Female",3.7,65,84
586,"Male",6.1,49,95
587,"Male",3,49,77
588,"Female",5,72,93
589,"Female",1.9,48,65
590,"Male",4.9,44,91
591,"Male",2.1,55,68
592,"Female",4.2,54,88
593,"Male",1.9,63,82
594,"Female",3.5,58,85
595,"Male",3.3,86,79
596,"Female",5.3,73,93
597,"Male",3.6,40,75
598,"Male",3.3,63,87
599,"Female",6.3,56,90
600,"Female",7,68,100
601,"Female",6.1,50,90
602,"Female",2.3,55,73
603,"Female",6.4,61,96
604,"Male",2.7,64,78
605,"Male",4.4,43,84
606,"Male",5.6,56,87
607,"Male",4.2,40,88
608,"Female",4.3,65,92
609,"Male",4.7,53,84
610,"Female",5.1,74,88
611,"Male",5.1,72,92
612,"Male",1.9,52,70
613,"Female",4.2,64,88
614,"Male",4.9,72,91
615,"Female",5.4,65,85
616,"Female",4,49,88
617,"Female",3.4,40,71
618,"Male",2.4,62,71
619,"Female",3.4,53,68
620,"Female",4.3,74,81
621,"Female",3.5,52,72
622,"Female",5.4,67,91
623,"Female",5.1,69,98
624,"Female",2.1,68,75
625,"Female",5,43,85
626,"Male",5.3,45,85
627,"Male",4.1,55,91
628,"Male",4.5,70,89
629,"Male",3.9,72,89
630,"Male",4.1,79,90
631,"Male",3,51,70
632,"Female",5.1,53,87
633,"Male",2.7,60,74
634,"Female",3.6,72,91
635,"Male",3.1,41,69
636,"Male",3.2,48,76
637,"Male",3.9,77,91
638,"Female",3.8,68,86
639,"Female",3.5,39,72
640,"Female",4.1,71,85
641,"Female",2.1,64,81
642,"Female",4.7,53,82
643,"Male",5.4,60,92
644,"Female",2.6,66,83
645,"Female",2.4,64,78
646,"Male",7.8,68,96
647,"Male",4.9,75,96
648,"Female",4.6,64,95
649,"Male",4.2,45,81
650,"Female",5.2,61,91
651,"Male",4.6,36,82
652,"Male",3.7,58,75
653,"Male",3.9,52,79
654,"Male",4,51,78
655,"Female",4,54,90
656,"Female",3.4,98,98
657,"Female",6.1,50,95
658,"Female",4.6,51,81
659,"Male",3.3,56,81
660,"Female",5.4,56,81
661,"Male",5,94,100
662,"Male",4.3,60,87
663,"Female",5.1,59,91
664,"Male",3.1,55,76
665,"Male",4.2,71,92
666,"Male",3,58,86
667,"Male",2.7,65,70
668,"Male",4,61,85
669,"Female",4.8,44,85
670,"Female",3.1,52,71
671,"Female",4.2,60,89
672,"Male",1.8,72,84
673,"Male",3.8,63,90
674,"Male",6.3,61,97
675,"Female",2.8,52,83
676,"Female",2.7,69,81
677,"Female",4.2,69,85
678,"Female",5.3,57,87
679,"Male",6.4,68,100
680,"Female",8.5,58,100
681,"Male",5.7,62,87
682,"Male",5.5,68,95
683,"Male",7.5,66,100
684,"Female",4,52,82
685,"Male",4.2,64,81
686,"Female",4.9,55,82
687,"Female",2.4,58,75
688,"Male",1.7,51,61
689,"Female",7.2,60,96
690,"Male",3.6,69,67
691,"Female",3.8,57,81
692,"Male",3,67,89
693,"Male",4.7,59,81
694,"Female",5.4,66,92
695,"Female",4.2,44,75
696,"Female",4.5,67,90
697,"Female",5.9,53,93
698,"Female",4.5,56,86
699,"Female",3.7,63,83
700,"Female",4.4,65,91
701,"Female",3.2,55,70
702,"Male",4.7,50,82
703,"Male",3.2,53,76
704,"Male",6.6,47,85
705,"Female",0.8,71,72
706,"Male",5.1,64,92
707,"Male",3.8,60,81
708,"Male",7.5,50,95
709,"Female",4.1,69,95
710,"Female",5.2,62,95
711,"Male",5.1,43,75
712,"Female",4.9,56,85
713,"Male",5.3,57,87
714,"Female",7.5,57,100
715,"Male",5.9,60,92
716,"Female",4.8,64,90
717,"Female",7.2,72,100
718,"Female",5.4,59,94
719,"Male",5.5,54,94
720,"Male",6.4,48,80
721,"Female",4.7,63,95
722,"Female",5.6,56,86
723,"Female",4.1,66,74
724,"Female",4.7,51,90
725,"Female",4.6,57,85
726,"Male",3.5,47,84
727,"Male",7.6,66,100
728,"Female",3.7,58,86
729,"Male",4,88,83
730,"Female",6.5,56,97
731,"Male",4.5,52,77
732,"Male",6.3,80,100
733,"Male",3.6,79,86
734,"Male",4.5,75,93
735,"Male",4.1,63,85
736,"Female",3,67,74
737,"Female",4,69,87
738,"Male",3.5,71,85
739,"Female",5.8,53,85
740,"Male",4.1,52,79
741,"Male",4.4,71,89
742,"Male",3.3,48,90
743,"Female",4.8,64,87
744,"Male",2.1,53,63
745,"Male",0.1,80,70
746,"Male",7.3,70,100
747,"Male",5.6,65,90
748,"Female",5.5,62,95
749,"Male",1.1,52,68
750,"Female",5.5,55,90
751,"Female",5.3,61,94
752,"Female",4.4,62,83
753,"Male",5.7,63,94
754,"Male",6.2,34,95
755,"Male",4.3,64,88
756,"Female",7.4,66,92
757,"Female",6,71,100
758,"Male",6.3,76,90
759,"Female",4,69,76
760,"Male",4.3,70,85
761,"Female",3.1,56,83
762,"Male",5.1,55,86
763,"Female",4.9,51,85
764,"Female",4.6,76,88
765,"Female",3.5,40,71
766,"Female",4.2,63,92
767,"Female",7.5,60,97
768,"Female",3.1,64,79
769,"Female",3.9,68,79
770,"Female",2.4,46,71
771,"Male",2.6,68,78
772,"Male",4.1,64,90
773,"Female",3.9,59,76
774,"Male",3.6,55,76
775,"Male",3.3,64,86
776,"Female",4.2,52,77
777,"Male",6.2,64,97
778,"Male",4,60,88
779,"Female",2.6,43,75
780,"Female",2.9,77,72
781,"Male",1.5,81,84
782,"Male",1.9,71,69
783,"Male",3.4,56,84
784,"Male",3,54,81
785,"Male",2.8,71,72
786,"Male",7.5,69,100
787,"Female",7.1,71,100
788,"Female",8.3,57,96
789,"Female",5.7,72,94
790,"Female",4.3,78,84
791,"Male",2.9,62,87
792,"Female",2.8,62,80
793,"Male",3.8,60,89
794,"Female",6.4,48,88
795,"Male",5.5,48,100
796,"Male",5.8,54,86
797,"Male",4.2,65,90
798,"Female",2.2,63,72
799,"Female",5,72,83
800,"Female",4.2,51,88
801,"Male",4,59,81
802,"Male",7.8,55,97
803,"Female",5.8,62,92
804,"Female",4.2,66,83
805,"Male",1.6,77,79
806,"Male",4.1,77,97
807,"Male",6,79,92
808,"Male",5.1,66,82
809,"Male",4.9,78,94
810,"Male",6.1,49,92
811,"Male",4.2,61,82
812,"Male",4,74,83
813,"Male",4.1,57,84
814,"Male",5.6,65,96
815,"Female",4.1,68,82
816,"Male",5.6,58,85
817,"Female",2.7,73,83
818,"Male",2.6,65,74
819,"Female",4.7,52,85
820,"Female",5.6,72,97
821,"Male",3.9,48,81
822,"Female",3.6,69,81
823,"Female",0.2,52,61
824,"Male",5.1,66,87
825,"Male",3.1,64,73
826,"Female",5.1,72,89
827,"Female",6.6,64,100
828,"Male",3.8,68,86
829,"Female",5.5,53,87
830,"Male",4.3,59,84
831,"Female",5.1,71,98
832,"Female",2.8,52,83
833,"Female",5.1,50,86
834,"Male",6.5,58,94
835,"Male",7.2,59,100
836,"Female",2.7,60,74
837,"Female",5.3,83,97
838,"Female",3.7,45,74
839,"Male",5.3,51,82
840,"Male",4.2,52,76
841,"Female",4.1,74,91
842,"Male",5.5,73,97
843,"Female",5.6,51,84
844,"Female",4.9,49,81
845,"Female",5.2,57,91
846,"Female",5.1,40,81
847,"Male",4.9,65,87
848,"Female",4.6,59,89
849,"Female",5.9,43,88
850,"Male",5.6,58,94
851,"Male",5.7,60,84
852,"Female",6.2,68,98
853,"Female",5.3,59,91
854,"Male",4.3,53,86
855,"Male",2.9,54,74
856,"Male",3.8,74,96
857,"Male",3.2,57,86
858,"Male",4.1,63,83
859,"Male",3.7,64,80
860,"Male",4.2,64,91
861,"Male",3,45,71
862,"Male",3.6,67,85
863,"Male",5,72,89
864,"Female",4.8,81,92
865,"Male",3.9,47,77
866,"Male",6,49,95
867,"Male",2,64,66
868,"Female",5.2,55,81
869,"Female",6.9,73,100
870,"Female",3.9,45,83
871,"Female",5.1,64,90
872,"Female",3.7,64,84
873,"Female",4.5,69,97
874,"Female",5.7,69,96
875,"Female",3.1,61,86
876,"Male",3.7,43,72
877,"Male",5.3,63,94
878,"Female",5.1,64,84
879,"Female",5.7,42,87
880,"Male",6.4,71,97
881,"Female",5.7,61,90
882,"Male",2.9,49,79
883,"Male",4.7,63,87
884,"Male",3.9,70,82
885,"Male",4.5,66,97
886,"Male",5.9,56,100
887,"Male",4.9,84,90
888,"Female",4.7,58,91
889,"Female",4.3,63,89
890,"Male",5.1,65,92
891,"Male",2.7,69,81
892,"Female",3.9,68,91
893,"Female",6.9,60,100
894,"Male",5.4,59,83
895,"Male",3.1,49,75
896,"Male",2.7,64,77
897,"Female",3.1,67,90
898,"Male",5.4,56,92
899,"Male",5.1,69,86
900,"Female",3.6,61,84
901,"Female",3.9,65,75
902,"Female",6,53,94
903,"Male",4,71,89
904,"Male",4.4,47,90
905,"Female",5,81,94
906,"Female",4.2,58,87
907,"Female",3.4,46,77
908,"Male",3.9,50,76
909,"Male",2.9,40,69
910,"Female",5.2,58,83
911,"Female",6.5,62,99
912,"Male",4.9,54,87
913,"Male",5.7,58,87
914,"Male",3.5,47,71
915,"Female",4.3,70,83
916,"Female",4.3,58,82
917,"Male",2.4,63,64
918,"Male",4.6,81,92
919,"Female",5.2,70,97
920,"Male",5.5,48,87
921,"Male",6.5,71,100
922,"Female",2.3,43,68
923,"Male",5.4,89,99
924,"Female",5.6,75,92
925,"Male",4.2,44,71
926,"Male",5.4,52,89
927,"Female",2.4,76,82
928,"Female",4.8,48,85
929,"Male",0,84,63
930,"Female",5,73,89
931,"Female",6.9,68,95
932,"Female",6.8,55,92
933,"Female",0.5,77,69
934,"Female",5.3,62,87
935,"Female",4,71,90
936,"Female",4.5,54,82
937,"Male",1.2,68,68
938,"Male",5.1,50,82
939,"Female",3.7,55,84
940,"Male",5.1,58,84
941,"Female",4.2,72,88
942,"Female",3,62,80
943,"Male",5,55,82
944,"Male",5.4,50,94
945,"Female",4.6,53,82
946,"Male",5.4,63,94
947,"Female",3.8,64,74
948,"Female",6.4,57,90
949,"Male",4,53,88
950,"Male",3.6,39,70
951,"Male",6.1,64,100
952,"Female",6.2,56,94
953,"Male",5.5,60,88
954,"Female",4.8,59,87
955,"Female",6.9,40,86
956,"Female",3,59,75
957,"Male",6.2,78,100
958,"Male",7.1,78,99
959,"Male",4.6,45,84
960,"Male",5.4,60,88
961,"Male",5.4,39,84
962,"Male",6.3,54,88
963,"Male",3.2,77,88
964,"Female",5.8,68,100
965,"Female",1.9,57,72
966,"Female",7.6,56,100
967,"Male",3.6,59,74
968,"Male",4,48,87
969,"Male",4.9,61,88
970,"Male",2.6,52,79
971,"Female",4.1,46,88
972,"Male",4.6,52,78
973,"Female",4,70,80
974,"Female",7.5,49,100
975,"Male",1.8,50,74
976,"Male",4.3,37,72
977,"Female",6.3,65,95
978,"Male",3.2,61,83
979,"Female",4.3,56,85
980,"Male",7.4,69,100
981,"Female",1.7,60,66
982,"Female",3.3,66,91
983,"Female",2.7,56,63
984,"Male",5.4,54,82
985,"Female",3.2,71,86
986,"Male",5.2,68,98
987,"Male",3.5,69,87
988,"Female",4.3,64,89
989,"Female",5.8,59,90
990,"Female",4.7,51,84
991,"Male",1.6,80,86
992,"Female",3.7,62,89
993,"Male",5.6,57,96
994,"Female",7.3,78,100
995,"Male",2.8,77,71
996,"Male",4.2,53,74
997,"Female",4.4,60,95
998,"Female",3.4,57,77
999,"Female",2.4,70,77
1000,"Female",7.3,57,99
1001,"Male",6.7,63,92
1002,"Female",2.4,60,74
1003,"Female",1.7,60,69
1004,"Male",4.1,50,84
1005,"Female",5.1,61,89
1006,"Male",4.3,65,80
1007,"Male",6.2,60,92
1008,"Female",4.1,56,77
